sample_id,original_id,content,labels,implied_statement,rationale,reviewer1_relevance,reviewer1_faithfulness,reviewer1_completeness,reviewer2_relevance,reviewer2_faithfulness,reviewer2_completeness,notes
1,168,Đmcs,"race#hate, politics#hate",cộng sản đáng ghét,"Cụm từ ""Đmcs"" được sử dụng với mục đích xúc phạm và thể hiện sự phản cảm đối với cộng đồng. | Ngôn từ viết tắt này mang tính chất chỉ trích dữ dội, không có dấu hiệu của sự trung lập. | Cách diễn đạt cho thấy sự thù địch dồn nặng vào đối tượng được gán mác ""cộng sản"". | Giọng điệu ngắn gọn, cộc cằn và có tính chất hạ thấp, phù hợp với mức ""hate"".",,,,,,,
2,2808,Iu cô gái khơ me hàm răng trắng tác cái l** đen thui 🙏🙏,individuals#hate,phụ nữ bị tình dục hóa,Việc sử dụng từ ngữ miệt thị như 'l** đen' nhằm xúc phạm phụ nữ một cách thô lỗ. | Mô tả phụ nữ dựa trên ngoại hình và các đặc điểm tình dục để giảm giá trị của họ. | Ngôn từ kết hợp với yếu tố tình dục hóa làm tăng tính chất định kiến và kỳ thị giới. | Giọng điệu thô tục và xúc phạm rõ ràng phản ánh định kiến tiêu cực về phụ nữ.,,,,,,,
3,19,Lê Thị Bích Hồng tk trẩu,individuals#offensive,người này thiếu chín chắn,Sử dụng từ 'trẩu' là một từ lóng xúc phạm liên quan đến xu hướng tính dục. | Lời nói mang tính kỳ thị và đánh giá tiêu cực về sự chín chắn của người nhận. | Cách dùng từ không chỉ trích về hành vi mà còn có tính phân biệt đối xử. | Phù hợp với nhãn 'individuals#offensive' khi lời nói có tính chất tấn công cá nhân.,,,,,,,
4,117,Hoàng Xuân Tâm mày muốn đợi Tùng ra mv thì mày phải ráng chờ anh GD tung sản phẩm đã khi đó Tùng mới có ý tưởng ra mv cho mày xem,individuals#hate,nghệ sĩ này thiếu sáng tạo,"Lời nói 'mày phải ráng chờ' mang tính chất châm biếm và chế giễu về khả năng sáng tạo. | Cách xưng hô bằng 'mày' gây cảm giác thân mật nhưng cũng chứa đựng sự coi thường. | Việc chỉ trích ý tưởng của nghệ sĩ thể hiện sự đánh giá tiêu cực về tài năng. | Giọng điệu này cho thấy thái độ hạ thấp và không tôn trọng đối với nghệ sĩ, phù hợp với mức hận thù.",,,,,,,
5,5009,Nguyễn Thanh cái này dơ hơn,individuals#offensive,cái này dơ bẩn,"Cách sử dụng từ ""dơ"" nhằm xúc phạm, hạ thấp phẩm giá cá nhân. | Cách nói ""cái này"" mang tính chất chung chung nhưng lại chứa định kiến mạnh. | Lời nói ngắn gọn nhưng chứa đựng sự phỉ báng trực tiếp. | Ngôn từ mang tính chất xúc phạm, phù hợp với mức ""offensive"".",,,,,,,
6,4583,Tịch An đời thằng cầu thủ ở VN mà xuống phong độ là coi như ăn lz. Kkkk,individuals#offensive,cầu thủ Việt Nam bị bạc đãi,Bài đăng sử dụng từ ngữ như 'thằng' để hạ thấp giá trị cá nhân của cầu thủ. | Cách nói 'xuống phong độ là coi như ăn lz' mang tính chất chế giễu và châm biếm. | Sử dụng 'Kkkk' để nhấn mạnh sự xem thường đối tượng. | Phản ánh thái độ định kiến với cầu thủ Việt Nam khi bị đánh giá không công bằng.,,,,,,,
7,4622,"Thang cc nao ma chang the dc,",individuals#offensive,người khác không quan trọng,"Cách dùng 'cc' trong lời nói đã tạo nên sự xúc phạm và chế nhạo đối tượng. | Câu nói 'Thang cc nao ma chang the dc' mang tính châm biếm và khinh miệt. | Lời lẽ này cho thấy sự coi thường, làm giảm giá trị cá nhân của mục tiêu. | Tính chất công kích, hạ thấp đối tượng phù hợp với mức 'offensive'.",,,,,,,
8,3981,cởi mẹ đi mặc khó ưa vc,individuals#hate,phán xét trang phục người khác,"Cụm từ 'cởi mẹ đi' là lời kích động và mang tính xúc phạm cao. | Việc chỉ trích trang phục qua 'mặc khó ưa' nhằm châm biếm và hạ thấp đối tượng. | Ngôn từ được sử dụng có hình thức thô tục và khiếm nhã, gây tổn thương cá nhân. | Phong cách nói này thể hiện thái độ phán xét gay gắt, điển hình của hate speech.",,,,,,,
9,3036,hệ thống thủy lợi yếu kém cộng thêm Khựa chơi bẩn bựa thì lụt lội là điều tất nhiên :\,race#offensive,Trung Quốc chơi bẩn,Sử dụng từ 'Khựa' là một cụm từ xúc phạm được áp dụng nhằm miệt thị người Trung Quốc. | Việc cho rằng hạ tầng thủy lợi kém và 'chơi bẩn bựa' mang tính chất tổng hợp sự chỉ trích. | Bài viết kết hợp chỉ trích về kỹ năng và đạo đức của đối tượng. | Ngôn từ phân biệt và thể hiện sự khinh miệt phù hợp với mức 'offensive'.,,,,,,,
10,8673,Bùi Đức hợp lý vl,individuals#offensive,người này có lý lẽ,Cụm từ 'hợp lý vl' dù có vẻ khen nhưng cách nói với 'vl' tạo cảm giác mỉa mai. | Lời nói mang sắc thái châm biếm thay vì tôn trọng đánh giá lý lẽ của người được nhắc. | Việc sử dụng từ ngữ viết tắt và không trang trọng làm tăng tính xúc phạm. | Điều này phù hợp với nhãn 'individuals#offensive' khi lời nói mang tính chất chế giễu.,,,,,,,
